TOT_POP,0-9,19-Oct,20-29,30-39,40-49,50-59,White-alone pop,POP_ESTIMATE_2018,R_birth_2018,R_death_2018,R_NATURAL_INC_2018,Less than a high school diploma 2014-18,High school diploma only 2014-18,POVALL_2018,PCTPOVALL_2018,MEDHHINC_2018,Civilian_labor_force_2018,Employed_2018,Unemployed_2018,Unemployment_rate_2018,Median_Household_Income_2018,Active Physicians per 100000 Population 2018 (AAMC),Total Active Patient Care Physicians per 100000 Population 2018 (AAMC),Active Primary Care Physicians per 100000 Population 2018 (AAMC),Active Patient Care Primary Care Physicians per 100000 Population 2018 (AAMC),Active General Surgeons per 100000 Population 2018 (AAMC),Active Patient Care General Surgeons per 100000 Population 2018 (AAMC),Total nurse practitioners (2019),Total physician assistants (2019),Total Hospitals (2019),Internal Medicine Primary Care (2019),Family Medicine/General Practice Primary Care (2019),Total Specialist Physicians (2019),ICU Beds_x,Total Population,Population Aged 60+,Percent of Population Aged 60+,COUNTY_NAME,STATE_NAME,CNTY_FIPS,county_pop2018_18 and older,anycondition_prevalence,Obesity_prevalence,COPD_prevalence,diabetes_prevalence,CKD_prevalence,Percent_Pop_Aged_60_plus,Racial_Diversity_Index,Percent_Higher_Education,Minority_Population,Child_Poverty_Index
8189.0,912,1010,843,838,852,1264,7811,8189,10.7,10.6,0.1,1113,2468,1829,22.6,32715.0,3241,3079,162,5.0,32715,273.1,236.3,86.6,79.0,7.0,6.3,4.567376517,0.888880709,0.163072852,5.094021629,3.657109204,14.52284046,0,8273,2279,27.5,1023,25,203,6430,52.7,37.1,14.1,16.0,4.3,30.162412993039446,1,27.182806203443644,378,36.45
11512.0,1603,1597,1258,1296,1208,1508,5681,11512,12.9,15.0,-2.1,1677,3487,2780,24.3,36132.0,5443,5196,247,4.5,36132,207.6,188.2,79.9,75.0,7.0,6.5,4.984748617,0.798323725,0.336136305,3.433937936,6.436246298,13.8923607,0,12094,3044,25.2,125,3,41,8562,58.5,43.2,12.3,19.3,4.7,26.424600416956217,2,23.940236275191104,5831,35.05
4146.0,581,602,502,406,463,527,3953,4146,12.8,7.6,5.2,481,796,376,9.4,67220.0,2291,2243,48,2.1,67220,227.6,206.5,88.0,80.5,6.8,6.3,2.33821752,1.184772824,0.197936806,1.715926986,2.547546372,5.429734107,0,4295,1016,23.7,656,16,119,3085,47.8,38.7,8.7,13.1,3.4,25.687409551374817,1,35.35938253738543,193,12.9
17810.0,2096,2406,2082,2033,2127,2435,16839,17810,10.0,10.8,-0.8,2106,4844,3202,18.3,43696.0,7406,7140,266,3.6,43696,207.6,188.2,79.9,75.0,7.0,6.5,7.711811402,1.235071711,0.520030194,5.312581188,9.957396332,21.49261155,0,17803,4640,26.1,29,3,47,13736,49.3,37.3,11.7,14.4,3.8,26.002245929253228,1,28.770353733857384,971,22.0
5619.0,639,670,665,828,967,733,5079,5619,11.5,4.1,7.4,796,1663,429,9.5,72451.0,2890,2837,53,1.8,72451,224.8,199.9,72.9,66.5,6.2,5.4,1.93813673,1.143892213,0.102388435,2.126077261,1.88175457,6.63625847,0,5821,1074,18.5,1566,43,205,4435,45.1,34.9,6.7,11.1,2.8,19.878982025271398,2,33.386723616301836,540,10.100000000000001
153337.625,172916,169254,180344,181479,147705,120319,1005344,1152633,15.1,5.8,9.3,67200,159716,102660,9.0,73619.0,620909,602123,18786,3.0,73619,216.2,199.9,65.3,62.2,5.8,5.4,440.1081366,290.9745592,2.9057676592500004,354.05551,383.5905217,1347.671643,282,1106700,164497,14.9,1667,44,35,839744,34.6,29.1,4.5,8.6,2.4,25.121199053396058,1,37.19048080991211,147289,10.05
79388.0,7504,8422,9806,9237,10356,11905,75621,79388,9.2,11.9,-2.7,7748,29119,11323,15.4,46706.0,35744,33960,1784,5.0,46706,320.5,273.3,100.8,88.2,8.7,7.2,43.40997575,35.14081858,1.23355493,64.31842187,44.65592821,165.9224362,27,80539,21111,26.2,1384,38,33,64935,52.2,37.1,9.7,13.0,3.4,27.911019297626844,1,28.195697082682518,3767,22.25
153337.625,24403,26944,28824,25632,26418,31518,184594,229642,10.6,12.6,-2.0,14934,62331,36520,16.5,48010.0,103437,97293,6144,5.9,48010,292.7,248.6,93.7,83.7,8.3,7.1,118.6376594,43.926777,2.9057676592500004,155.3153394,106.2022167,447.5580651,67,231857,62316,26.9,1300,35,99,183650,53.3,35.6,10.0,14.9,3.6,25.121199053396058,2,37.19048080991211,45048,22.950000000000003
63711.0,7777,7664,7740,7024,7958,8787,57950,63711,11.7,15.6,-4.0,8606,16685,11231,17.9,45434.0,25132,24064,1068,4.2,45434,217.1,196.7,77.2,71.2,7.6,6.9,33.06855009,6.973462475,1.316485439,29.78385375,24.34846337,82.66485797,12,64927,16386,25.2,63,0,127,49568,53.6,36.6,11.8,14.9,3.7,26.30785892546028,2,30.894194095211187,5761,24.35
153337.625,40076,38995,38838,37327,30916,27410,236610,256359,15.2,6.4,8.8,14736,44927,23839,9.4,68106.0,124592,120217,4375,3.5,68106,216.2,199.9,65.3,62.2,5.8,5.4,97.88517401,64.71612996,2.9057676592500004,78.74606791,85.31499839,299.7378651,64,244101,38967,16.0,1673,44,57,183875,38.6,30.4,5.4,9.7,2.6,25.121199053396058,1,37.19048080991211,19749,10.850000000000001
